count,class,description
247,4-90,Not for profit commercial minor improvement
291,2-00,Residential Land
319,9-14,"Two or three story non-fireproof court and corridor apartments or California type apartments, no corridors, exterior entrance"
338,3-96,"Rented modern row houses, seven or more units in a single development or one or more contiguous parcels in common ownership"
369,3-13,Two or three story building seven or more units
466,2-13,Cooperative
623,5-30,Supermarket
685,5-89,Industrial condominium unit
689,2-97,Special residential improvements (May apply to condo building in first year of construction before division into individual units.)
703,5-29,Motel
810,3-97,Special rental structure
816,9-15,"Two or three story non-fireproof corridor apartments, or California type apartments, interior entrance"
964,5-31,Shopping center
1046,2-39,"Non-equalized land under agricultural use, valued at farm pricing"
1133,3-90,Other minor improvement related to rental use
1152,3-91,"Apartment building over three stories, seven or more units"
1441,5-91,Commercial building over three stories
1475,6-63,Industrial building
1595,5-28,Bank building
1691,5-23,Gasoline station
2831,3-18,"Mixed use commercial/residential building with apartments and commercial area totaling seven units or more with a square foot area of over 20,000 square feet"
2833,2-90,Minor improvement
3040,1-90,Minor Improvement on Vacant Land
3659,3-14,"Two or three story non-fireproof building with corridor apartment or California type apartments, no corridors exterior entrance"
5024,5-22,One story non-fireproof public garage
5310,5-92,Two or three story building containing part or all retail and/or commercial space
5383,5-99,Commercial condominium unit
5415,3-99,"Rental condo units in a sngl. dvlp. of 1 or more contig. parcels w 7 or more rental units, comn ownshp"
5794,2-09,"Two or more story residence, any age, 5,000 square feet and over"
6376,5-97,Special commercial structure
6773,3-15,"Two or three story non-fireproof corridor apartments or California type apartments, interior entrance"
7054,5-80,Industrial minor improvement
8617,,
9514,2-01,Residential garage
11350,2-08,"Two or more story residence, up to 62 years of age, 3,801 to 4,999 square feet"
12902,2-10,"Old style row house (town home), over 62 years of age"
14721,2-12,"Mixed use commercial/residential building with apartment and commercial area totaling 6 units or less with a square foot area less than 20,00 square feet, any age"
17641,5-93,Industrial building
19894,5-90,Commercial minor improvement
26570,5-17,One story commercial building
27758,2-41,Vacant land under common ownership with adjacent residence
29869,2-06,"Two or more story residence, over 62 years of age, 2,201 to 4,999 square feet"
36780,2-07,"Two or more story residence, up to 62 years of age, up to 2,000 square feet"
56273,2-04,"One Story Residence, any age, 1,801 square feet and over"
62226,2-95,Individually owned townhome or row house up to 62 years of age
67566,1-00,Vacant Land
73820,2-05,"Two or more story residence, over 62 years of age up to 2,200 square feet"
99059,0-00,UnClassified
100122,2-78,"Two or more story residence, up to 62 years of age, 2,001 to 3,800 square feet"
112950,2-34,"Split level residence with a lower level below grade (ground level) all ages, all sizes"
138067,2-02,"One Story Residence, any age, up to 999 square feet"
160274,2-11,"Apartment building with 2 to 6 units, any age"
394633,2-03,"One Story Residence, any age, 1,000 to 1,800 square feet"
452635,2-99,Residential condominium
